ABBR,Sentence_A,Sentence_B,Sentence_C,Sentence_A_Prime,Sentence_B_Prime,Sentence_C_Prime
MAI,"Renal, cardiac, and splenic pathologies, Mycobacterium avium-intracellulare infection, and cachexia were more common in blacks than in whites and/or Hispanic individuals, and cytomegalovirus and systemic lymphoma were more common in whites and Hispanic individuals than in blacks.","Renal, cardiac, and splenic pathologies, MAI infection, and cachexia were more common in blacks than in whites and/or Hispanic individuals, and cytomegalovirus and systemic lymphoma were more common in whites and Hispanic individuals than in blacks.","Renal, cardiac, and splenic pathologies, mitotic activity index infection, and cachexia were more common in blacks than in whites and/or Hispanic individuals, and cytomegalovirus and systemic lymphoma were more common in whites and Hispanic individuals than in blacks.",AIMS: The mitotic activity index is a strong prognostic factor for disease free survival in breast cancer.,AIMS: The MAI is a strong prognostic factor for disease free survival in breast cancer.,AIMS: The Mycobacterium avium-intracellulare is a strong prognostic factor for disease free survival in breast cancer.
MAI,Culture later revealed Mycobacterium avium-intracellulare.,Culture later revealed MAI.,Culture later revealed mitotic activity index.,"OBJECTIVES: To analyze the predictive power of Ki67 area% (Ki67), mitotic activity index, p53 area% (p53), and the mean area of the 10 largest nuclei (MNA10) for progression of stage in 195 primary consecutive TaT1 urothelial cell carcinomas of the urinary bladder.","OBJECTIVES: To analyze the predictive power of Ki67 area% (Ki67), MAI, p53 area% (p53), and the mean area of the 10 largest nuclei (MNA10) for progression of stage in 195 primary consecutive TaT1 urothelial cell carcinomas of the urinary bladder.","OBJECTIVES: To analyze the predictive power of Ki67 area% (Ki67), Mycobacterium avium-intracellulare, p53 area% (p53), and the mean area of the 10 largest nuclei (MNA10) for progression of stage in 195 primary consecutive TaT1 urothelial cell carcinomas of the urinary bladder."
MAI,HIV/AIDS case histories: diagnostic problems. Mycobacterium avium-intracellulare infection.,HIV/AIDS case histories: diagnostic problems. MAI infection.,HIV/AIDS case histories: diagnostic problems. mitotic activity index infection.,"Because the mitotic activity index is of good prognostic value in several other cancers, we assessed its value in stage IA NSCLC.","Because the MAI is of good prognostic value in several other cancers, we assessed its value in stage IA NSCLC.","Because the Mycobacterium avium-intracellulare is of good prognostic value in several other cancers, we assessed its value in stage IA NSCLC."
MCA,"Patients experiencing malignant stroke of the middle cerebral artery have a high mortality related to cerebral edema, increased ICP, and subsequent cerebral herniation.","Patients experiencing malignant stroke of the MCA have a high mortality related to cerebral edema, increased ICP, and subsequent cerebral herniation.","Patients experiencing malignant stroke of the monoclonal antibodies have a high mortality related to cerebral edema, increased ICP, and subsequent cerebral herniation.","The activity and specificity of monoclonal antibodies anti-A and anti-B, which were presented for testing at the 4th International Workshop on monoclonal antibodies to Red Blood Cells and Related Antigens, Paris, 2001, were studied.","The activity and specificity of MCA anti-A and anti-B, which were presented for testing at the 4th International Workshop on to Red Blood Cells and Related Antigens, Paris, 2001, were studied.","The activity and specificity of middle cerebral artery anti-A and anti-B, which were presented for testing at the 4th International Workshop on middle cerebral artery to Red Blood Cells and Related Antigens, Paris, 2001, were studied."
MCA,Carotid angiography demonstrated occlusion of the left ascending frontal artery complex and retention of contrast medium at the bifurcation of the left middle cerebral artery.,Carotid angiography demonstrated occlusion of the left ascending frontal artery complex and retention of contrast medium at the bifurcation of the left MCA.,Carotid angiography demonstrated occlusion of the left ascending frontal artery complex and retention of contrast medium at the bifurcation of the left monoclonal antibodies.,Phage display was used to obtain peptides mimicking a HIV-1 gp41 conserved epitope recognized by virus-neutralizing monoclonal antibodies 2F5.,Phage display was used to obtain peptides mimicking a HIV-1 gp41 conserved epitope recognized by virus-neutralizing MCA 2F5.,Phage display was used to obtain peptides mimicking a HIV-1 gp41 conserved epitope recognized by virus-neutralizing middle cerebral artery 2F5.
MCA,"In the current study the authors report on a patient who presented with the acute onset of headache, vomiting, a depressed level of consciousness, and a left hemiparesis and in whom a right middle cerebral artery territory ischemic stroke with hemorrhagic conversion was initially diagnosed.","In the current study the authors report on a patient who presented with the acute onset of headache, vomiting, a depressed level of consciousness, and a left hemiparesis and in whom a right MCA territory ischemic stroke with hemorrhagic conversion was initially diagnosed.","In the current study the authors report on a patient who presented with the acute onset of headache, vomiting, a depressed level of consciousness, and a left hemiparesis and in whom a right monoclonal antibodies territory ischemic stroke with hemorrhagic conversion was initially diagnosed.",The expression of CVH proteins in frozen sections of biopsy samples of 69 CCH patients was evaluated by using the immune-histological method involving original monoclonal antibodies to 5 CVH proteins.,The expression of CVH proteins in frozen sections of biopsy samples of 69 CCH patients was evaluated by using the immune-histological method involving original MCA to 5 CVH proteins.,The expression of CVH proteins in frozen sections of biopsy samples of 69 CCH patients was evaluated by using the immune-histological method involving original middle cerebral artery to 5 CVH proteins.
MCA,METHODS: Ischemic brain injury was induced in rats by injecting a preformed blood clot in the middle cerebral artery.,METHODS: Ischemic brain injury was induced in rats by injecting a preformed blood clot in the MCA.,METHODS: Ischemic brain injury was induced in rats by injecting a preformed blood clot in the monoclonal antibodies.,A phase peptide library was screened with virus-neutralizing monoclonal antibodies 2F5 which recognize a conserved epitope of HIV-1 gp41.,A phase peptide library was screened with virus-neutralizing MCA 2F5 which recognize a conserved epitope of HIV-1 gp41.,A phase peptide library was screened with virus-neutralizing middle cerebral artery 2F5 which recognize a conserved epitope of HIV-1 gp41.
MCA,"Six days after capsule implantation, the right middle cerebral artery was occluded.","Six days after capsule implantation, the right MCA was occluded.","Six days after capsule implantation, the right monoclonal antibodies was occluded.","Serum concentrations of hCG, its free alpha- (hCGalpha) and beta- (hCGbeta) subunits, human follicle-stimulating hormone (hFSH) and human luteinizing hormone (hLH) were determined by highly sensitive and specific enzymometric immunoassays based on a panel of monoclonal antibodies established in our laboratory.","Serum concentrations of hCG, its free alpha- (hCGalpha) and beta- (hCGbeta) subunits, human follicle-stimulating hormone (hFSH) and human luteinizing hormone (hLH) were determined by highly sensitive and specific enzymometric immunoassays based on a panel of MCA established in our laboratory.","Serum concentrations of hCG, its free alpha- (hCGalpha) and beta- (hCGbeta) subunits, human follicle-stimulating hormone (hFSH) and human luteinizing hormone (hLH) were determined by highly sensitive and specific enzymometric immunoassays based on a panel of middle cerebral artery established in our laboratory."
MCH,Transgenic hyperexpression of Melanin-concentrating hormone produces a phenotype of obesity and glucose intolerance.,Transgenic hyperexpression of MCH produces a phenotype of obesity and glucose intolerance.,Transgenic hyperexpression of Maternal and Child Health produces a phenotype of obesity and glucose intolerance.,Does the utilization of modern Maternal and Child Health services influence subsequent contraceptive use?,Does the utilization of modern MCH services influence subsequent contraceptive use?,Does the utilization of modern Melanin-concentrating hormone services influence subsequent contraceptive use?
MCH,"Melanin-concentrating hormone regulates energy homeostasis and has been implicated in other behaviors that impact alcohol consumption (i.e., anxiety, fluid balance, and reward).","MCH regulates energy homeostasis and has been implicated in other behaviors that impact alcohol consumption (i.e., anxiety, fluid balance, and reward).","Maternal and Child Health regulates energy homeostasis and has been implicated in other behaviors that impact alcohol consumption (i.e., anxiety, fluid balance, and reward).",The intention was to promote the Maternal and Child Health programs to improve the health of mothers and young children.,The intention was to promote the MCH programs to improve the health of mothers and young children.,The intention was to promote the Melanin-concentrating hormone programs to improve the health of mothers and young children.
MCH,The orexigenic peptides hypocretin (orexin) and Melanin-concentrating hormone are involved in the control of food intake and in other homeostatic functions including sleep and arousal.,The orexigenic peptides hypocretin (orexin) and MCH are involved in the control of food intake and in other homeostatic functions including sleep and arousal.,The orexigenic peptides hypocretin (orexin) and Maternal and Child Health are involved in the control of food intake and in other homeostatic functions including sleep and arousal.,"DESIGN, SUBJECTS, SETTING: Data on current and past infant feeding patterns, sociodemographic, biomedical and biocultural factors were collected using a cross-sectional design, from a sample of 376 women with infants 0-6 months, attending Maternal and Child Health clinics in Accra.","DESIGN, SUBJECTS, SETTING: Data on current and past infant feeding patterns, sociodemographic, biomedical and biocultural factors were collected using a cross-sectional design, from a sample of 376 women with infants 0-6 months, attending MCH clinics in Accra.","DESIGN, SUBJECTS, SETTING: Data on current and past infant feeding patterns, sociodemographic, biomedical and biocultural factors were collected using a cross-sectional design, from a sample of 376 women with infants 0-6 months, attending Melanin-concentrating hormone clinics in Accra."
MCH,OBJECTIVE: The importance of the Melanin-concentrating hormone system for regulation of energy homeostasis and body weight has been demonstrated in rodents.,OBJECTIVE: The importance of the MCH system for regulation of energy homeostasis and body weight has been demonstrated in rodents.,OBJECTIVE: The importance of the Maternal and Child Health system for regulation of energy homeostasis and body weight has been demonstrated in rodents.,We focus on the recommendations of the FIMRs and the essential Maternal and Child Health services conducted by the FIMRs as intermediate outcomes (or outputs) and then examine how selected characteristics of the FIMR may influence these.,We focus on the recommendations of the FIMRs and the essential MCH services conducted by the FIMRs as intermediate outcomes (or outputs) and then examine how selected characteristics of the FIMR may influence these.,We focus on the recommendations of the FIMRs and the essential Melanin-concentrating hormone services conducted by the FIMRs as intermediate outcomes (or outputs) and then examine how selected characteristics of the FIMR may influence these.
MCH,In order to investigate the physiological properties of the Melanin-concentrating hormone we have generated and used mice from which the MCH receptor 1 gene was deleted ( MCH R1(Neo/Neo) mice).,In order to investigate the physiological properties of the MCH we have generated and used mice from which the MCH receptor 1 gene was deleted ( MCH R1(Neo/Neo) mice).,In order to investigate the physiological properties of the Maternal and Child Health we have generated and used mice from which the MCH receptor 1 gene was deleted ( MCH R1(Neo/Neo) mice).,Reproductive health has emerged as an organizational framework that incorporates men into Maternal and Child Health programs.,Reproductive health has emerged as an organizational framework that incorporates men into MCH programs.,Reproductive health has emerged as an organizational framework that incorporates men into Melanin-concentrating hormone programs.
MCV,mean corpuscular volume decreased from 94.3+/-7.3 fl to 86.0+/-4.8 fl (p<0.05).,MCV decreased from 94.3+/-7.3 fl to 86.0+/-4.8 fl (p<0.05).,molluscum contagiosum virus decreased from 94.3+/-7.3 fl to 86.0+/-4.8 fl (p<0.05).,"To presumably interfere with the fulfillment of this immunity-associated event in cells infected with the molluscum contagiosum virus, this pathogen produces the intracellular MC159 protein.","To presumably interfere with the fulfillment of this immunity-associated event in cells infected with the MCV, this pathogen produces the intracellular MC159 protein.","To presumably interfere with the fulfillment of this immunity-associated event in cells infected with the mean corpuscular volume, this pathogen produces the intracellular MC159 protein."
MCV,"Blood samples were analyzed for hemoglobin (Hb), hematocrit (Hct) and mean corpuscular volume at 9 - 12 months; and infants with Hb<11.0 g/dl were further investigated for the cause of anemia.","Blood samples were analyzed for hemoglobin (Hb), hematocrit (Hct) and MCV at 9 - 12 months; and infants with Hb<11.0 g/dl were further investigated for the cause of anemia.","Blood samples were analyzed for hemoglobin (Hb), hematocrit (Hct) and molluscum contagiosum virus at 9 - 12 months; and infants with Hb<11.0 g/dl were further investigated for the cause of anemia.","molluscum contagiosum virus lesions are limited to the human epidermis and can persist for months, showing only weak signs of inflammation.","MCV lesions are limited to the human epidermis and can persist for months, showing only weak signs of inflammation.","mean corpuscular volume lesions are limited to the human epidermis and can persist for months, showing only weak signs of inflammation."
MCV,"AIM: To evaluate the sensitivity, specificity, positive predictive value and negative predictive value of mean corpuscular volume testing for screening for both alpha-thalassemia-1 and beta-thalassemia traits.","AIM: To evaluate the sensitivity, specificity, positive predictive value and negative predictive value of MCV testing for screening for both alpha-thalassemia-1 and beta-thalassemia traits.","AIM: To evaluate the sensitivity, specificity, positive predictive value and negative predictive value of molluscum contagiosum virus testing for screening for both alpha-thalassemia-1 and beta-thalassemia traits.",Pediatric molluscum contagiosum virus is a common pox viridae infection that represents a common public health issue.,Pediatric MCV is a common pox viridae infection that represents a common public health issue.,Pediatric mean corpuscular volume is a common pox viridae infection that represents a common public health issue.
MCV,Increased mean corpuscular volume has been recognized as a biomarker for alcohol abuse and heavy drinkers.,Increased MCV has been recognized as a biomarker for alcohol abuse and heavy drinkers.,Increased molluscum contagiosum virus has been recognized as a biomarker for alcohol abuse and heavy drinkers.,"Two poxviruses, molluscum contagiosum virus and Variola virus are specific to humans.","Two poxviruses, MCV and Variola virus are specific to humans.","Two poxviruses, mean corpuscular volume and Variola virus are specific to humans."
MCV,The aim of this study was to investigate the relationship between mean corpuscular volume and the various haemoglobinopathies diagnosed in Norway.,The aim of this study was to investigate the relationship between MCV and the various haemoglobinopathies diagnosed in Norway.,The aim of this study was to investigate the relationship between molluscum contagiosum virus and the various haemoglobinopathies diagnosed in Norway.,molluscum contagiosum virus is a human poxvirus that causes abnormal proliferation of epithelial cells.,MCV is a human poxvirus that causes abnormal proliferation of epithelial cells.,mean corpuscular volume is a human poxvirus that causes abnormal proliferation of epithelial cells.
MDI,"Beta-2 agonists can be delivered by intermittent nebulization, continuous nebulization or by metered dose inhaler with a spacer They can also be given intravenously in patients who are unresponsive to escalating therapy.","Beta-2 agonists can be delivered by intermittent nebulization, continuous nebulization or by MDI with a spacer They can also be given intravenously in patients who are unresponsive to escalating therapy.","Beta-2 agonists can be delivered by intermittent nebulization, continuous nebulization or by Mental Development Index with a spacer They can also be given intravenously in patients who are unresponsive to escalating therapy.","RESULTS: Mean Mental Development Index scores for all age groups were within normal limits, except for the age ranges of 18 to 23 and 24 to 35 months, which were mildly delayed.","RESULTS: Mean MDI scores for all age groups were within normal limits, except for the age ranges of 18 to 23 and 24 to 35 months, which were mildly delayed.","RESULTS: Mean metered dose inhaler scores for all age groups were within normal limits, except for the age ranges of 18 to 23 and 24 to 35 months, which were mildly delayed."
MDI,Patients received salmeterol/fluticasone 50/500 microg metered dose inhaler bid for 12 weeks.,Patients received salmeterol/fluticasone 50/500 microg MDI bid for 12 weeks.,Patients received salmeterol/fluticasone 50/500 microg Mental Development Index bid for 12 weeks.,Bayley Mental Development Index scores and parent-reported language abilities of 58 toddlers of mothers who were exposed to varying levels of prenatal stress were obtained at 2 y of age.,Bayley MDI scores and parent-reported language abilities of 58 toddlers of mothers who were exposed to varying levels of prenatal stress were obtained at 2 y of age.,Bayley metered dose inhaler scores and parent-reported language abilities of 58 toddlers of mothers who were exposed to varying levels of prenatal stress were obtained at 2 y of age.
MDI,METHODS: A metered dose inhaler formulation of celecoxib was prepared and evaluated for its medication delivery and aerodynamic properties.,METHODS: A MDI formulation of celecoxib was prepared and evaluated for its medication delivery and aerodynamic properties.,METHODS: A Mental Development Index formulation of celecoxib was prepared and evaluated for its medication delivery and aerodynamic properties.,"Sixty-four 2-year-olds (28 males, 36 females) born less than 30 weeks' gestation (median 28.5 weeks, range 23 to 31 weeks), median birthweight 980g (range 500 to 1905g) were assessed using the Mental Development Index of the Bayley Scales of Infant Development-II and the parental questionnaire.","Sixty-four 2-year-olds (28 males, 36 females) born less than 30 weeks' gestation (median 28.5 weeks, range 23 to 31 weeks), median birthweight 980g (range 500 to 1905g) were assessed using the MDI of the Bayley Scales of Infant Development-II and the parental questionnaire.","Sixty-four 2-year-olds (28 males, 36 females) born less than 30 weeks' gestation (median 28.5 weeks, range 23 to 31 weeks), median birthweight 980g (range 500 to 1905g) were assessed using the metered dose inhaler of the Bayley Scales of Infant Development-II and the parental questionnaire."
MDI,Development and performance of a new hydrofluoroalkane (HFA 134a)-based metered dose inhaler of salmeterol.,Development and performance of a new hydrofluoroalkane (HFA 134a)-based MDI of salmeterol.,Development and performance of a new hydrofluoroalkane (HFA 134a)-based Mental Development Index of salmeterol.,(1998) reported that children conceived after ICSI had lower scores in the Mental Development Index of the Bayley Scales of Infant Development compared with infants conceived naturally or by standard IVF treatment.,(1998) reported that children conceived after ICSI had lower scores in the MDI of the Bayley Scales of Infant Development compared with infants conceived naturally or by standard IVF treatment.,(1998) reported that children conceived after ICSI had lower scores in the metered dose inhaler of the Bayley Scales of Infant Development compared with infants conceived naturally or by standard IVF treatment.
MDI,OBJECTIVES: This study investigated the ability of patients to assess when a metered dose inhaler is empty.,OBJECTIVES: This study investigated the ability of patients to assess when a MDI is empty.,OBJECTIVES: This study investigated the ability of patients to assess when a Mental Development Index is empty.,A multiple linear regression model was constructed using the 24-mo Mental Development Index of the Bayley Scale as the primary outcome and infant APOE genotype as the primary risk factor of interest.,A multiple linear regression model was constructed using the 24-mo MDI of the Bayley Scale as the primary outcome and infant APOE genotype as the primary risk factor of interest.,A multiple linear regression model was constructed using the 24-mo metered dose inhaler of the Bayley Scale as the primary outcome and infant APOE genotype as the primary risk factor of interest.
MDS,"After thorough investigation, decitabine achieved therapeutic application in myelodysplastic syndrome, in particular in patients with a poor prognosis.","After thorough investigation, decitabine achieved therapeutic application in MDS, in particular in patients with a poor prognosis.","After thorough investigation, decitabine achieved therapeutic application in minimum data set, in particular in patients with a poor prognosis.","RESULTS: Of the 29 645 eligible subjects, 8995 experienced some level of UI at the time the minimum data set was completed (30%).","RESULTS: Of the 29 645 eligible subjects, 8995 experienced some level of UI at the time the MDS was completed (30%).","RESULTS: Of the 29 645 eligible subjects, 8995 experienced some level of UI at the time the myelodysplastic syndrome was completed (30%)."
MDS,PURPOSE: Erythroid apoptosis in low-risk myelodysplastic syndrome maybe mediated via mitochondrial release of cytochrome c and subsequent caspase activation.,PURPOSE: Erythroid apoptosis in low-risk MDS maybe mediated via mitochondrial release of cytochrome c and subsequent caspase activation.,PURPOSE: Erythroid apoptosis in low-risk minimum data set maybe mediated via mitochondrial release of cytochrome c and subsequent caspase activation.,"The validity was determined for minimum data set 2.0 oral/nutrition status (Section K) items, used to identify long-term care residents at nutritional risk.","The validity was determined for MDS 2.0 oral/nutrition status (Section K) items, used to identify long-term care residents at nutritional risk.","The validity was determined for myelodysplastic syndrome 2.0 oral/nutrition status (Section K) items, used to identify long-term care residents at nutritional risk."
MDS,"myelodysplastic syndrome is a heterogenous group of stem cell disorders usually characterized by progressive refractory cytopenias, which could progress to acute myeloid leukemia.","MDS is a heterogenous group of stem cell disorders usually characterized by progressive refractory cytopenias, which could progress to acute myeloid leukemia.","minimum data set is a heterogenous group of stem cell disorders usually characterized by progressive refractory cytopenias, which could progress to acute myeloid leukemia.",OBJECTIVES: We sought to examine the impact of residents' cognitive function on the quality of minimum data set pain data using the latent variable approach.,OBJECTIVES: We sought to examine the impact of residents' cognitive function on the quality of MDS pain data using the latent variable approach.,OBJECTIVES: We sought to examine the impact of residents' cognitive function on the quality of myelodysplastic syndrome pain data using the latent variable approach.
MDS,OBJECTIVE: To study the histomorphometric features of megakaryocytic elements in bone marrow trephine biopsies of various subtypes of myelodysplastic syndrome.,OBJECTIVE: To study the histomorphometric features of megakaryocytic elements in bone marrow trephine biopsies of various subtypes of MDS.,OBJECTIVE: To study the histomorphometric features of megakaryocytic elements in bone marrow trephine biopsies of various subtypes of minimum data set.,METHODS: All admission assessments recorded in the minimum data set throughout the United States during 2000 were analyzed.,METHODS: All admission assessments recorded in the MDS throughout the United States during 2000 were analyzed.,METHODS: All admission assessments recorded in the myelodysplastic syndrome throughout the United States during 2000 were analyzed.
MDS,"myelodysplastic syndrome is a group of clonal hematopoietic stem cell disorders characterized by ineffective hematopoiesis, leading to bone marrow failure and peripheral blood cytopenias.","MDS is a group of clonal hematopoietic stem cell disorders characterized by ineffective hematopoiesis, leading to bone marrow failure and peripheral blood cytopenias.","minimum data set is a group of clonal hematopoietic stem cell disorders characterized by ineffective hematopoiesis, leading to bone marrow failure and peripheral blood cytopenias.","PARTICIPANTS: Newly admitted residents between 1992 and 2002 (n=847,601) in selected states and 1,448,046 residents newly admitted to a U.S. nursing home in 2002 with height and weight documented on the minimum data set assessment.","PARTICIPANTS: Newly admitted residents between 1992 and 2002 (n=847,601) in selected states and 1,448,046 residents newly admitted to a U.S. nursing home in 2002 with height and weight documented on the MDS assessment.","PARTICIPANTS: Newly admitted residents between 1992 and 2002 (n=847,601) in selected states and 1,448,046 residents newly admitted to a U.S. nursing home in 2002 with height and weight documented on the myelodysplastic syndrome assessment."
MMF,"Recent studies have suggested some benefit with Mycophenolate mofetil, especially in hypertensive patients with kidney failure and proteinuria, though other studies have failed to corroborate these findings.","Recent studies have suggested some benefit with MMF, especially in hypertensive patients with kidney failure and proteinuria, though other studies have failed to corroborate these findings.","Recent studies have suggested some benefit with maxillomandibular fixation, especially in hypertensive patients with kidney failure and proteinuria, though other studies have failed to corroborate these findings.",PURPOSE: This study was aimed to determine whether a short period of maxillomandibular fixation followed by an arch bar splint wired to the lower jaw is a suitable alternative to conventional MMF for treatment of fractures of the mandibular tooth-bearing area.,PURPOSE: This study was aimed to determine whether a short period of MMF followed by an arch bar splint wired to the lower jaw is a suitable alternative to conventional MMF for treatment of fractures of the mandibular tooth-bearing area.,PURPOSE: This study was aimed to determine whether a short period of Mycophenolate mofetil followed by an arch bar splint wired to the lower jaw is a suitable alternative to conventional MMF for treatment of fractures of the mandibular tooth-bearing area.
MMF,"OBJECTIVE: The prophylactic use of the immunosuppressant prodrug, Mycophenolate mofetil to prevent graft rejection in renal transplant patients is continuing to increase.","OBJECTIVE: The prophylactic use of the immunosuppressant prodrug, MMF to prevent graft rejection in renal transplant patients is continuing to increase.","OBJECTIVE: The prophylactic use of the immunosuppressant prodrug, maxillomandibular fixation to prevent graft rejection in renal transplant patients is continuing to increase.","Historically, treatment of mandible fractures included intraoperative maxillomandibular fixation along with rigid internal fixation.","Historically, treatment of mandible fractures included intraoperative MMF along with rigid internal fixation.","Historically, treatment of mandible fractures included intraoperative Mycophenolate mofetil along with rigid internal fixation."
MMF,"Markers of bone turnover, serum osteocalcin and urinary N-telopeptides, were measured over a 1-year period in 115 patients receiving either CsA or sirolimus as a primary therapy in combination with azathioprine and glucocorticoids (study A) or Mycophenolate mofetil and glucocorticoids (study B).","Markers of bone turnover, serum osteocalcin and urinary N-telopeptides, were measured over a 1-year period in 115 patients receiving either CsA or sirolimus as a primary therapy in combination with azathioprine and glucocorticoids (study A) or MMF and glucocorticoids (study B).","Markers of bone turnover, serum osteocalcin and urinary N-telopeptides, were measured over a 1-year period in 115 patients receiving either CsA or sirolimus as a primary therapy in combination with azathioprine and glucocorticoids (study A) or maxillomandibular fixation and glucocorticoids (study B).",The critical indication for submental intubation is the requirement for intraoperative maxillomandibular fixation in the presence of injuries that preclude nasal intubation and in a situation where a tracheostomy is not otherwise required.,The critical indication for submental intubation is the requirement for intraoperative MMF in the presence of injuries that preclude nasal intubation and in a situation where a tracheostomy is not otherwise required.,The critical indication for submental intubation is the requirement for intraoperative Mycophenolate mofetil in the presence of injuries that preclude nasal intubation and in a situation where a tracheostomy is not otherwise required.
MMF,"BACKGROUND: This is the 1-year report of a randomized, multicenter, clinical trial comparing the combination of sirolimus or Mycophenolate mofetil with tacrolimus-based immunosuppression in kidney transplantation.","BACKGROUND: This is the 1-year report of a randomized, multicenter, clinical trial comparing the combination of sirolimus or MMF with tacrolimus-based immunosuppression in kidney transplantation.","BACKGROUND: This is the 1-year report of a randomized, multicenter, clinical trial comparing the combination of sirolimus or maxillomandibular fixation with tacrolimus-based immunosuppression in kidney transplantation.","The comminuted regions were treated by closed reduction and maxillomandibular fixation in 35 fractures, open reduction with stable internal fixation in 146 fractures, and 17 were treated with external pin fixation.","The comminuted regions were treated by closed reduction and MMF in 35 fractures, open reduction with stable internal fixation in 146 fractures, and 17 were treated with external pin fixation.","The comminuted regions were treated by closed reduction and Mycophenolate mofetil in 35 fractures, open reduction with stable internal fixation in 146 fractures, and 17 were treated with external pin fixation."
MMF,"BACKGROUND: This 36-month, randomized, parallel-group study compared safety and efficacy of two doses of everolimus with Mycophenolate mofetil in de novo renal-transplant recipients.","BACKGROUND: This 36-month, randomized, parallel-group study compared safety and efficacy of two doses of everolimus with MMF in de novo renal-transplant recipients.","BACKGROUND: This 36-month, randomized, parallel-group study compared safety and efficacy of two doses of everolimus with maxillomandibular fixation in de novo renal-transplant recipients.","We recorded the mechanism of injury, time between injury and surgery, gender and age, temporary maxillomandibular fixation and its duration, and surgical approach.","We recorded the mechanism of injury, time between injury and surgery, gender and age, temporary MMF and its duration, and surgical approach.","We recorded the mechanism of injury, time between injury and surgery, gender and age, temporary Mycophenolate mofetil and its duration, and surgical approach."
MRA,"PATIENTS AND METHODS: magnetic resonance angiography was used to assess the diameter of the ascending aorta, aortic arch, and descending aorta in 28 patients with bicuspid aortic valves (mean age 30 +/- 9 years).","PATIENTS AND METHODS: MRA was used to assess the diameter of the ascending aorta, aortic arch, and descending aorta in 28 patients with bicuspid aortic valves (mean age 30 +/- 9 years).","PATIENTS AND METHODS: MR angiography was used to assess the diameter of the ascending aorta, aortic arch, and descending aorta in 28 patients with bicuspid aortic valves (mean age 30 +/- 9 years).",We evaluated magnetic susceptibility artifacts of nine types of vena cava filters in MR angiography at 1.0T ex vivo in order to assess the filters' compatibility with MRA .,We evaluated magnetic susceptibility artifacts of nine types of vena cava filters in MRA at 1.0T ex vivo in order to assess the filters' compatibility with MRA .,We evaluated magnetic susceptibility artifacts of nine types of vena cava filters in magnetic resonance angiography at 1.0T ex vivo in order to assess the filters' compatibility with MRA .
MRA,"Herein, we present and illustrate a method whereby regional curvatures can be estimated easily for sub-classes of human aneurysms based on clinically available data from magnetic resonance angiography.","Herein, we present and illustrate a method whereby regional curvatures can be estimated easily for sub-classes of human aneurysms based on clinically available data from MRA.","Herein, we present and illustrate a method whereby regional curvatures can be estimated easily for sub-classes of human aneurysms based on clinically available data from MR angiography.",We established an easy-to-use technique for performing contrast-enhanced carotid MR angiography with a commercial scanner.,We established an easy-to-use technique for performing contrast-enhanced carotid MRA with a commercial scanner.,We established an easy-to-use technique for performing contrast-enhanced carotid magnetic resonance angiography with a commercial scanner.
MRA,"magnetic resonance angiography showed a contained rupture of his distal abdominal aorta, and he underwent emergent endovascular repair.","MRA showed a contained rupture of his distal abdominal aorta, and he underwent emergent endovascular repair.","MR angiography showed a contained rupture of his distal abdominal aorta, and he underwent emergent endovascular repair.","It has various potential applications, such as MR angiography, where the signal itself is sparse.","It has various potential applications, such as MRA, where the signal itself is sparse.","It has various potential applications, such as magnetic resonance angiography, where the signal itself is sparse."
MRA,magnetic resonance angiography and mesenteric angiography were inconclusive.,MRA and mesenteric angiography were inconclusive.,MR angiography and mesenteric angiography were inconclusive.,PURPOSE: To design an ideal first-pass profile for MR angiography by optimizing a multiphasic injection protocol based on two experimental animal models.,PURPOSE: To design an ideal first-pass profile for MRA by optimizing a multiphasic injection protocol based on two experimental animal models.,PURPOSE: To design an ideal first-pass profile for magnetic resonance angiography by optimizing a multiphasic injection protocol based on two experimental animal models.
MRA,AIM: The purpose of the work was to assess the diagnostic significance of combined bolus magnetic resonance angiography and two-dimensional time-of-flight MRA of lower limb arteries as compared to radioangiography in patients with occlusive diseases of lower limb arteries.,AIM: The purpose of the work was to assess the diagnostic significance of combined bolus MRA and two-dimensional time-of-flight MRA of lower limb arteries as compared to radioangiography in patients with occlusive diseases of lower limb arteries.,AIM: The purpose of the work was to assess the diagnostic significance of combined bolus MR angiography and two-dimensional time-of-flight MRA of lower limb arteries as compared to radioangiography in patients with occlusive diseases of lower limb arteries.,Non-contrast venous MR angiography was performed to analyse intracranial drainage patterns of the SS in relation to the side of the IJVVI.,Non-contrast venous MRA was performed to analyse intracranial drainage patterns of the SS in relation to the side of the IJVVI.,Non-contrast venous magnetic resonance angiography was performed to analyse intracranial drainage patterns of the SS in relation to the side of the IJVVI.
